Код дефекта по каталогу;Группа;Название дефекта;Примечание;ед. изм.;нижняя граница;верхняя граница;Категории дефекта (Б);Категории дефекта (Д);Категории дефекта (Р);Категории дефекта (Г);Рекомендуемые дополняющие пояснения и параметры дефекта в фактических единицах или в % к размерам носителя дефекта;Материал элемента, конструкции носителя дефекта, причина появления и другие дополнительные пояснения к названию дефекта;Место расположения дефекта;Количественные параметры развития;Базовый
265;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Деформация общая элемента связи от механического воздействия;Несущая способность основной конструкции ниже уровня проектных нагрузок;;;;0;3;2;1;Стрела выпучивания, изгиба (мм), Длина участка деформаций;;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
265;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Деформация общая элемента связи от механического воздействия;Работоспособность основной конструкции утрачена;;;;4;4;2;1;Стрела выпучивания, изгиба (мм), Длина участка деформаций;;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
266;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Деформация местная элемента связи от потери устойчивости;Без конкретизации степени развития;;;;0;2;2;1;Стрела изгиба (мм)+Длина участка деформаций;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
267;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Деформация местная элемента связи от механического воздействия;Без надрыва сечения;;;;0;1;2;0;Стрела выпучивания, изгиба (мм), Длина участка деформаций;;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
267;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Деформация местная элемента связи от механического воздействия;С надрывом сечения;;;;0;2;2;1;Стрела выпучивания, изгиба (мм), Длина участка деформаций;;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
268;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Обрыв связи в узле крепления;Несущая способность основной конструкции на уровне проектных нагрузок;;;;0;2;2;1;Пояснение;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
268;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Обрыв связи в узле крепления;Несущая способность основной конструкции ниже уровня проектных нагрузок;;;;0;3;2;1;Пояснение;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
268;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Обрыв связи в узле крепления;Работоспособность основной конструкции утрачена;;;;4;4;2;1;Пояснение;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
269;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Трещина в сварном шве сплавления соединяемых конструкций;Возможно произвольное развитие;;;;0;3;2;1;Длина трещины (мм);Металлические конструкции;Основные несущие конструкции:;;0
269;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Трещина в сварном шве сплавления соединяемых конструкций;Локализованная зона развития. Несущая способность конструкции на уровне проектных нагрузок;;;;0;1;2;1;Длина трещины (мм);Металлические конструкции;Основные несущие конструкции:;;0
269;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Трещина в сварном шве сплавления соединяемых конструкций;Локализованная зона развития. Несущая способность конструкции ниже уровня проектных нагрузок;;;;0;3;2;1;Длина трещины (мм);Металлические конструкции;Основные несущие конструкции:;;0
269;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Трещина в сварном шве сплавления соединяемых конструкций;Работоспособность конструкции утрачена;;;;4;4;3;1;Длина трещины (мм);Металлические конструкции;Основные несущие конструкции:;;0
270;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Трещина в сварном шве сплавления элементов составного сечения связи;Возможно произвольное развитие;;;;0;3;2;1;Длина трещины (мм);Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
270;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Трещина в сварном шве сплавления элементов составного сечения связи;Локализованная зона развития. Несущая способность основной конструкции на уровне проектных нагрузок;;;;0;1;2;1;Длина трещины (мм);Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
270;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Трещина в сварном шве сплавления элементов составного сечения связи;Локализованная зона развития. Несущая способность основной конструкции ниже уровня проектных нагрузок;;;;0;3;2;1;Длина трещины (мм);Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
270;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Трещина в сварном шве сплавления элементов составного сечения связи;Работоспособность основной конструкции утрачена;;;;4;4;3;1;Длина трещины (мм);Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
271;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Выкол в металле элемента связи;Несущая способность основной конструкции на уровне проектных нагрузок;;;;0;1;2;1;Площадь;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
271;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Выкол в металле элемента связи;Несущая способность основной конструкции ниже уровня проектных нагрузок;;;;0;3;2;1;Площадь;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
271;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Выкол в металле элемента связи;Работоспособность основной конструкции утрачена;;;;4;4;3;1;Площадь;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
272;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Расслоение металла элемента связи по толщине проката;Возможно произвольное развитие;;;;0;3;2;1;Размеры дефекта;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
272;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Расслоение металла элемента связи по толщине проката;Локализованная зона развития. Несущая способность основной конструкции на уровне проектных нагрузок;;;;0;1;2;1;Размеры дефекта;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
272;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Расслоение металла элемента связи по толщине проката;Локализованная зона развития. Несущая способность основной конструкции ниже уровня проектных нагрузок;;;;0;3;2;1;Размеры дефекта;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
272;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Расслоение металла элемента связи по толщине проката;Работоспособность основной конструкции утрачена;;;;4;4;3;1;Размеры дефекта;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
273;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Некачественное исполнение сварного шва сплавления соединяемых конструкций;Несущая способность конструкции на уровне проектных нагрузок;;;;0;1;2;1;Каверны, раковины, инородные включения, перерывы шва, неполномерность сечения шва;Металлические конструкции;Основные несущие конструкции:;;0
273;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Некачественное исполнение сварного шва сплавления соединяемых конструкций;Несущая способность конструкции ниже уровня проектных нагрузок;;;;0;3;2;1;Каверны, раковины, инородные включения, перерывы шва, неполномерность сечения шва;Металлические конструкции;Основные несущие конструкции:;;0
273;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Некачественное исполнение сварного шва сплавления соединяемых конструкций;Работоспособность конструкции утрачена;;;;4;4;3;1;Каверны, раковины, инородные включения, перерывы шва, неполномерность сечения шва;Металлические конструкции;Основные несущие конструкции:;;0
274;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Некачественное исполнение сварного шва сплавления элементов составного сечения связи;Несущая способность основной конструкции на уровне проектных нагрузок;;;;0;1;2;1;Длина;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
274;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Некачественное исполнение сварного шва сплавления элементов составного сечения связи;Несущая способность основной конструкции ниже уровня проектных нагрузок;;;;0;3;2;1;Длина;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
274;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Некачественное исполнение сварного шва сплавления элементов составного сечения связи;Работоспособность основной конструкции утрачена;;;;4;4;3;1;Длина;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
275;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Трещина в сварном шве прикрепления продольного элемента связи к фасонке;Возможно произвольное развитие;;;;0;2;2;1;Длина трещины (мм);Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
275;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Трещина в сварном шве прикрепления продольного элемента связи к фасонке;Локализованная зона развития. Работоспособность соединения сохраняется;;;;0;1;2;1;Длина трещины (мм);Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
275;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Трещина в сварном шве прикрепления продольного элемента связи к фасонке;Локализованная зона развития. Работоспособность соединения ограничена;;;;0;2;2;1;Длина трещины (мм);Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
275;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Трещина в сварном шве прикрепления продольного элемента связи к фасонке;Работоспособность соединения утрачена;;;;0;3;2;1;Длина трещины (мм);Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
276;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Некачественное исполнение сварного шва прикрепления продольного элемента связи к фасонке;Работоспособность соединения сохраняется;;;;0;1;2;1;Длина;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
276;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Некачественное исполнение сварного шва прикрепления продольного элемента связи к фасонке;Работоспособность соединения ограничена;;;;0;2;2;1;Длина;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
276;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Некачественное исполнение сварного шва прикрепления продольного элемента связи к фасонке;Работоспособность соединения утрачена;;;;0;3;2;1;Длина;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
277;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Трещина в сварном шве прикрепления фасонки связи к элементу основного сечения;Возможно произвольное развитие;;;;0;2;2;1;Длина трещины (мм);Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
277;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Трещина в сварном шве прикрепления фасонки связи к элементу основного сечения;Локализованная зона развития. Работоспособность соединения сохраняется;;;;0;1;2;1;Длина трещины (мм);Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
277;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Трещина в сварном шве прикрепления фасонки связи к элементу основного сечения;Локализованная зона развития. Работоспособность соединения ограничена;;;;0;2;2;1;Длина трещины (мм);Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
277;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Трещина в сварном шве прикрепления фасонки связи к элементу основного сечения;Работоспособность соединения утрачена;;;;0;3;2;1;Длина трещины (мм);Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
278;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Некачественное исполнение сварного шва прикрепления фасонки связи к элементу основного сечения;Работоспособность соединения сохраняется;;;;0;1;2;1;Длина;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
278;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Некачественное исполнение сварного шва прикрепления фасонки связи к элементу основного сечения;Работоспособность соединения ограничена;;;;0;2;2;1;Длина;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
278;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Некачественное исполнение сварного шва прикрепления фасонки связи к элементу основного сечения;Работоспособность соединения утрачена;;;;0;3;2;1;Длина;Металл;Главные несущие конструкции сквозные: Связи пространственных конструкций;;0
279;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ослабленные болты соединения пакета листов основного сечения составного элемента;Отдельные болты. Работоспособность соединения сохраняется;;;;0;1;2;0;Количество дефектных болтов (шт);Металлические конструкции;Основные несущие конструкции:;;0
279;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ослабленные болты соединения пакета листов основного сечения составного элемента;В массовом порядке. Работоспособность соединения ограничена;;;;0;2;2;1;Количество дефектных болтов (шт);Металлические конструкции;Основные несущие конструкции:;;0
279;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ослабленные болты соединения пакета листов основного сечения составного элемента;В массовом порядке. Работоспособность соединения утрачена;;;;0;3;2;1;Количество дефектных болтов (шт);Металлические конструкции;Основные несущие конструкции:;;0
280;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ослабленные болты соединения элементов основного сечения составного элемента;Отдельные болты;;;;0;1;2;1;Количество дефектных болтов (шт);Металлические конструкции;Основные несущие конструкции:;;0
280;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ослабленные болты соединения элементов основного сечения составного элемента;В массовом порядке. Несущая способность конструкции на уровне проектных нагрузок;;;;0;2;2;1;Количество дефектных болтов (шт);Металлические конструкции;Основные несущие конструкции:;;0
280;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ослабленные болты соединения элементов основного сечения составного элемента;В массовом порядке. Несущая способность конструкции ниже уровня проектных нагрузок;;;;0;3;3;1;Количество дефектных болтов (шт);Металлические конструкции;Основные несущие конструкции:;;0
280;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ослабленные болты соединения элементов основного сечения составного элемента;В массовом порядке. Работоспособность конструкции утрачена;;;;4;4;3;1;Количество дефектных болтов (шт);Металлические конструкции;Основные несущие конструкции:;;0
281;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ослабленные болты в стыковом узле продольного объединения блоков конструкции;Отдельные болты;;;;0;1;2;1;Количество дефектных болтов;Металлические конструкции;Основные несущие конструкции:;;0
281;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ослабленные болты в стыковом узле продольного объединения блоков конструкции;В массовом порядке. Несущая способность конструкции на уровне проектных нагрузок;;;;0;2;3;1;Количество дефектных болтов;Металлические конструкции;Основные несущие конструкции:;;0
281;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ослабленные болты в стыковом узле продольного объединения блоков конструкции;В массовом порядке. Несущая способность конструкции ниже уровня проектных нагрузок;;;;0;3;3;1;Количество дефектных болтов;Металлические конструкции;Основные несущие конструкции:;;0
281;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ослабленные болты в стыковом узле продольного объединения блоков конструкции;В массовом порядке. Работоспособность конструкции утрачена;;;;4;4;3;1;Количество дефектных болтов;Металлические конструкции;Основные несущие конструкции:;;0
282;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ослабленные болты в узле прикрепления конструкции;Отдельные болты;;;;0;1;2;1;Количество дефектных болтов;Металлические конструкции;Основные несущие конструкции:;;0
282;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ослабленные болты в узле прикрепления конструкции;В массовом порядке. Несущая способность конструкции на уровне проектных нагрузок;;;;0;2;3;1;Количество дефектных болтов;Металлические конструкции;Основные несущие конструкции:;;0
282;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ослабленные болты в узле прикрепления конструкции;В массовом порядке. Несущая способность конструкции ниже уровня проектных нагрузок;;;;0;3;3;1;Количество дефектных болтов;Металлические конструкции;Основные несущие конструкции:;;0
282;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ослабленные болты в узле прикрепления конструкции;В массовом порядке. Работоспособность конструкции утрачена;;;;4;4;3;1;Количество дефектных болтов;Металлические конструкции;Основные несущие конструкции:;;0
283;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ослабленные болты прикрепления ребра жесткости;Работоспособность соединения сохраняется;;;;0;1;2;1;Количество дефектных болтов (шт);Металлические конструкции;Основные несущие конструкции:;;0
283;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ослабленные болты прикрепления ребра жесткости;Работоспособность соединения утрачена;;;;0;3;2;1;Количество дефектных болтов (шт);Металлические конструкции;Основные несущие конструкции:;;0
284;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствуют болты соединения пакета листов основного сечения составного элемента;Отдельные болты. Работоспособность соединения сохраняется;;;;0;1;2;0;Количество дефектных болтов;Металлические конструкции;Основные несущие конструкции:;;0
284;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствуют болты соединения пакета листов основного сечения составного элемента;В массовом порядке. Работоспособность соединения ограничена;;;;0;2;2;1;Количество дефектных болтов;Металлические конструкции;Основные несущие конструкции:;;0
284;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствуют болты соединения пакета листов основного сечения составного элемента;В массовом порядке. Работоспособность соединения утрачена;;;;0;3;2;1;Количество дефектных болтов;Металлические конструкции;Основные несущие конструкции:;;0
285;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствуют болты соединения элементов основного сечения составного элемента;Отдельные болты;;;;0;1;2;1;Количество дефектных болтов (шт);Металлические конструкции;Основные несущие конструкции:;;0
285;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствуют болты соединения элементов основного сечения составного элемента;В массовом порядке. Несущая способность конструкции на уровне проектных нагрузок;;;;0;2;3;1;Количество дефектных болтов (шт);Металлические конструкции;Основные несущие конструкции:;;0
285;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствуют болты соединения элементов основного сечения составного элемента;В массовом порядке. Несущая способность конструкции ниже уровня проектных нагрузок;;;;0;3;3;1;Количество дефектных болтов (шт);Металлические конструкции;Основные несущие конструкции:;;0
285;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствуют болты соединения элементов основного сечения составного элемента;В массовом порядке. Работоспособность конструкции утрачена;;;;4;4;3;1;Количество дефектных болтов (шт);Металлические конструкции;Основные несущие конструкции:;;0
286;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствуют болты в стыковом узле продольного объединения блоков конструкции;Отдельные болты;;;;0;1;2;1;Количество дефектных болтов;Металлические конструкции;Основные несущие конструкции:;;0
286;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствуют болты в стыковом узле продольного объединения блоков конструкции;В массовом порядке. Несущая способность конструкции на уровне проектных нагрузок;;;;0;2;3;1;Количество дефектных болтов;Металлические конструкции;Основные несущие конструкции:;;0
286;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствуют болты в стыковом узле продольного объединения блоков конструкции;В массовом порядке. Несущая способность конструкции ниже уровня проектных нагрузок;;;;0;3;3;1;Количество дефектных болтов;Металлические конструкции;Основные несущие конструкции:;;0
286;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствуют болты в стыковом узле продольного объединения блоков конструкции;В массовом порядке. Работоспособность конструкции утрачена;;;;4;4;3;1;Количество дефектных болтов;Металлические конструкции;Основные несущие конструкции:;;0
287;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствуют болты в узле прикрепления конструкции;Отдельные болты;;;;0;1;2;1;Количество дефектных болтов;Металлические конструкции;Основные несущие конструкции:;;0
287;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствуют болты в узле прикрепления конструкции;В массовом порядке. Несущая способность конструкции на уровне проектных нагрузок;;;;0;2;3;1;Количество дефектных болтов;Металлические конструкции;Основные несущие конструкции:;;0
287;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствуют болты в узле прикрепления конструкции;В массовом порядке. Несущая способность конструкции ниже уровня проектных нагрузок;;;;0;3;3;1;Количество дефектных болтов;Металлические конструкции;Основные несущие конструкции:;;0
287;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствуют болты в узле прикрепления конструкции;В массовом порядке. Работоспособность конструкции утрачена;;;;4;4;3;1;Количество дефектных болтов;Металлические конструкции;Основные несущие конструкции:;;0
288;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствуют болты прикрепления ребра жесткости;Работоспособность соединения сохраняется;;;;0;1;2;1;Количество дефектных болтов (шт);Металлические конструкции;Основные несущие конструкции:;;0
288;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствуют болты прикрепления ребра жесткости;Работоспособность соединения утрачена;;;;0;3;2;1;Количество дефектных болтов (шт);Металлические конструкции;Основные несущие конструкции:;;0
